Day Index,Users
6/18/14,58
6/19/14,43
6/20/14,33
6/21/14,28
6/22/14,33
6/23/14,49
6/24/14,61
6/25/14,57
6/26/14,45
6/27/14,43
6/28/14,25
6/29/14,26
6/30/14,38
7/1/14,32
7/2/14,49
7/3/14,46
7/4/14,39
7/5/14,19
7/6/14,26
7/7/14,45
7/8/14,55
7/9/14,55
7/10/14,50
7/11/14,36
7/12/14,20
7/13/14,32
7/14/14,50
7/15/14,43
7/16/14,43
7/17/14,33
7/18/14,37
7/19/14,24
7/20/14,24
7/21/14,42
7/22/14,29
7/23/14,42
7/24/14,40
7/25/14,29
7/26/14,24
7/27/14,23
7/28/14,36
7/29/14,24
7/30/14,39
7/31/14,43
8/1/14,31
8/2/14,25
8/3/14,28
8/4/14,44
8/5/14,42
8/6/14,65
8/7/14,39
8/8/14,26
8/9/14,28
8/10/14,25
8/11/14,39
8/12/14,38
8/13/14,30
8/14/14,48
8/15/14,29
8/16/14,36
8/17/14,27
8/18/14,42
8/19/14,43
8/20/14,39
8/21/14,36
8/22/14,35
8/23/14,19
8/24/14,31
8/25/14,41
8/26/14,33
8/27/14,40
8/28/14,38
8/29/14,25
8/30/14,28
8/31/14,34
9/1/14,50
9/2/14,36
9/3/14,46
9/4/14,40
9/5/14,36
9/6/14,27
9/7/14,34
9/8/14,41
9/9/14,52
9/10/14,67
9/11/14,48
9/12/14,38
9/13/14,36
9/14/14,41
9/15/14,66
9/16/14,58
9/17/14,49
9/18/14,43
9/19/14,64
9/20/14,44
9/21/14,49
9/22/14,56
9/23/14,66
9/24/14,68
9/25/14,66
9/26/14,38
9/27/14,46
9/28/14,52
9/29/14,54
9/30/14,44
10/1/14,41
10/2/14,63
10/3/14,43
10/4/14,32
10/5/14,41
10/6/14,63
10/7/14,74
10/8/14,64
10/9/14,73
10/10/14,57
10/11/14,33
10/12/14,55
10/13/14,58
10/14/14,57
10/15/14,50
10/16/14,67
10/17/14,53
10/18/14,36
10/19/14,59
10/20/14,74
10/21/14,82
10/22/14,45
10/23/14,54
10/24/14,63
10/25/14,47
10/26/14,63
10/27/14,77
10/28/14,82
10/29/14,66
10/30/14,64
10/31/14,40
11/1/14,21
11/2/14,49
11/3/14,60
11/4/14,45
11/5/14,36
11/6/14,39
11/7/14,29
11/8/14,24
11/9/14,32
11/10/14,41
11/11/14,44
11/12/14,43
11/13/14,45
11/14/14,37
11/15/14,32
11/16/14,36
11/17/14,41
11/18/14,47
11/19/14,47
11/20/14,46
11/21/14,41
11/22/14,25
11/23/14,39
11/24/14,40
11/25/14,40
11/26/14,40
11/27/14,29
11/28/14,31
11/29/14,26
11/30/14,32
12/1/14,37
12/2/14,43
12/3/14,51
12/4/14,40
12/5/14,36
12/6/14,28
12/7/14,31
12/8/14,40
12/9/14,52
12/10/14,42
12/11/14,27
12/12/14,34
12/13/14,29
12/14/14,59
12/15/14,38
12/16/14,32
12/17/14,42
12/18/14,29
12/19/14,30
12/20/14,24
12/21/14,14
12/22/14,23
12/23/14,31
12/24/14,14
12/25/14,29
12/26/14,20
12/27/14,22
12/28/14,24
12/29/14,18
12/30/14,17
12/31/14,22
1/1/15,15
1/2/15,15
1/3/15,30
1/4/15,17
1/5/15,22
1/6/15,29
1/7/15,31
1/8/15,31
1/9/15,22
1/10/15,14
1/11/15,18
1/12/15,23
1/13/15,36
1/14/15,36
1/15/15,26
1/16/15,31
1/17/15,27
1/18/15,29
1/19/15,22
1/20/15,24
1/21/15,45
1/22/15,45
1/23/15,31
1/24/15,19
1/25/15,20
1/26/15,40
1/27/15,26
1/28/15,34
1/29/15,38
1/30/15,27
1/31/15,20
2/1/15,32
2/2/15,25
2/3/15,27
2/4/15,33
2/5/15,36
2/6/15,22
2/7/15,32
2/8/15,34
2/9/15,39
2/10/15,35
2/11/15,28
2/12/15,23
2/13/15,31
2/14/15,18
2/15/15,27
2/16/15,41
2/17/15,38
2/18/15,51
2/19/15,46
2/20/15,40
