Day Index,Users
2/21/15,34
2/22/15,37
2/23/15,50
2/24/15,49
2/25/15,61
2/26/15,53
2/27/15,43
2/28/15,39
3/1/15,39
3/2/15,55
3/3/15,45
3/4/15,34
3/5/15,47
3/6/15,30
3/7/15,34
3/8/15,35
3/9/15,54
3/10/15,63
3/11/15,57
3/12/15,64
3/13/15,56
3/14/15,41
3/15/15,43
3/16/15,61
3/17/15,54
3/18/15,73
3/19/15,49
3/20/15,48
3/21/15,19
3/22/15,56
3/23/15,56
3/24/15,74
3/25/15,53
3/26/15,50
3/27/15,56
3/28/15,39
3/29/15,42
3/30/15,59
3/31/15,59
4/1/15,59
4/2/15,59
4/3/15,51
4/4/15,41
4/5/15,45
4/6/15,69
4/7/15,64
4/8/15,60
4/9/15,66
4/10/15,51
4/11/15,40
4/12/15,55
4/13/15,51
4/14/15,65
4/15/15,57
4/16/15,45
4/17/15,55
4/18/15,56
4/19/15,60
4/20/15,77
4/21/15,77
4/22/15,71
4/23/15,52
4/24/15,43
4/25/15,27
4/26/15,54
4/27/15,74
4/28/15,67
4/29/15,42
4/30/15,53
5/1/15,40
5/2/15,31
5/3/15,36
5/4/15,48
5/5/15,58
5/6/15,69
5/7/15,49
5/8/15,52
5/9/15,39
5/10/15,36
5/11/15,76
5/12/15,72
5/13/15,70
5/14/15,56
5/15/15,58
5/16/15,54
5/17/15,53
5/18/15,59
5/19/15,51
5/20/15,48
5/21/15,43
5/22/15,32
5/23/15,32
5/24/15,47
5/25/15,58
5/26/15,47
5/27/15,48
5/28/15,47
5/29/15,33
5/30/15,25
5/31/15,35
6/1/15,45
6/2/15,39
6/3/15,48
6/4/15,25
6/5/15,36
6/6/15,28
6/7/15,40
6/8/15,47
6/9/15,24
6/10/15,36
6/11/15,41
6/12/15,23
6/13/15,16
6/14/15,32
6/15/15,36
6/16/15,47
6/17/15,41
6/18/15,44
6/19/15,36
6/20/15,26
6/21/15,37
6/22/15,49
6/23/15,51
6/24/15,48
6/25/15,39
6/26/15,37
6/27/15,14
6/28/15,36
6/29/15,58
6/30/15,52
7/1/15,56
7/2/15,58
7/3/15,28
7/4/15,17
7/5/15,18
7/6/15,42
7/7/15,49
7/8/15,39
7/9/15,29
7/10/15,27
7/11/15,22
7/12/15,26
7/13/15,44
7/14/15,31
7/15/15,37
7/16/15,39
7/17/15,34
7/18/15,21
7/19/15,28
7/20/15,43
7/21/15,36
7/22/15,40
7/23/15,28
7/24/15,25
7/25/15,19
7/26/15,24
7/27/15,50
7/28/15,47
7/29/15,35
7/30/15,38
7/31/15,16
8/1/15,21
8/2/15,26
8/3/15,37
8/4/15,33
8/5/15,41
8/6/15,30
8/7/15,22
8/8/15,19
8/9/15,26
8/10/15,36
8/11/15,41
8/12/15,32
8/13/15,26
8/14/15,23
8/15/15,13
8/16/15,31
8/17/15,38
8/18/15,31
8/19/15,34
8/20/15,42
8/21/15,34
8/22/15,32
8/23/15,30
8/24/15,38
8/25/15,46
8/26/15,45
8/27/15,62
8/28/15,32
8/29/15,19
8/30/15,38
8/31/15,49
9/1/15,36
9/2/15,56
9/3/15,42
9/4/15,39
9/5/15,21
9/6/15,32
9/7/15,40
9/8/15,42
9/9/15,38
9/10/15,45
9/11/15,44
9/12/15,37
9/13/15,40
9/14/15,49
9/15/15,53
9/16/15,55
9/17/15,52
9/18/15,37
9/19/15,32
9/20/15,44
9/21/15,54
9/22/15,58
9/23/15,51
9/24/15,45
9/25/15,46
9/26/15,37
9/27/15,40
9/28/15,50
9/29/15,36
9/30/15,49
10/1/15,45
10/2/15,41
10/3/15,32
10/4/15,46
10/5/15,58
10/6/15,69
10/7/15,62
10/8/15,72
10/9/15,53
10/10/15,47
10/11/15,64
10/12/15,67
10/13/15,65
10/14/15,66
10/15/15,66
10/16/15,47
10/17/15,47
10/18/15,78
10/19/15,70
10/20/15,86
10/21/15,65
10/22/15,42
10/23/15,45
10/24/15,42
10/25/15,50
10/26/15,78
10/27/15,84
10/28/15,80
10/29/15,83
10/30/15,55
10/31/15,47
11/1/15,66
11/2/15,83
11/3/15,87
11/4/15,101
11/5/15,87
11/6/15,61
11/7/15,65
11/8/15,83
11/9/15,87
11/10/15,87
11/11/15,83
11/12/15,80
11/13/15,68
11/14/15,62
11/15/15,78
11/16/15,83
11/17/15,115
11/18/15,101
11/19/15,80
11/20/15,59
11/21/15,49
11/22/15,59
11/23/15,67
11/24/15,75
11/25/15,67
11/26/15,46
11/27/15,45
11/28/15,52
11/29/15,68
11/30/15,64
12/1/15,71
12/2/15,83
12/3/15,62
12/4/15,60
12/5/15,39
12/6/15,53
12/7/15,57
12/8/15,65
12/9/15,59
12/10/15,57
12/11/15,46
12/12/15,34
12/13/15,48
12/14/15,54
12/15/15,45
12/16/15,30
12/17/15,45
12/18/15,45
12/19/15,31
12/20/15,27
12/21/15,34
12/22/15,39
12/23/15,25
12/24/15,16
12/25/15,17
12/26/15,16
12/27/15,27
12/28/15,21
12/29/15,25
12/30/15,30
12/31/15,19
1/1/16,15
1/2/16,24
1/3/16,28
1/4/16,44
1/5/16,32
1/6/16,38
1/7/16,32
1/8/16,29
1/9/16,20
1/10/16,25
1/11/16,49
1/12/16,48
1/13/16,64
1/14/16,59
1/15/16,37
1/16/16,24
1/17/16,37
1/18/16,49
1/19/16,54
1/20/16,50
1/21/16,50
1/22/16,35
1/23/16,16
1/24/16,26
1/25/16,41
1/26/16,37
1/27/16,42
1/28/16,41
1/29/16,35
1/30/16,30
1/31/16,38
2/1/16,55
2/2/16,47
2/3/16,62
2/4/16,53
2/5/16,37
2/6/16,42
2/7/16,40
2/8/16,51
2/9/16,44
2/10/16,55
2/11/16,55
2/12/16,35
2/13/16,35
2/14/16,38
2/15/16,58
2/16/16,52
2/17/16,65
2/18/16,44
2/19/16,50
2/20/16,25
2/21/16,36
2/22/16,54
2/23/16,59
2/24/16,53
2/25/16,48
2/26/16,60
2/27/16,45
2/28/16,56
2/29/16,63
3/1/16,60
3/2/16,52
3/3/16,61
3/4/16,59
3/5/16,38
3/6/16,53
3/7/16,74
3/8/16,70
3/9/16,68
3/10/16,60
3/11/16,57
3/12/16,52
3/13/16,48
3/14/16,82
3/15/16,85
3/16/16,77
3/17/16,81
3/18/16,55
3/19/16,39
3/20/16,51
3/21/16,59
3/22/16,64
3/23/16,58
3/24/16,51
3/25/16,45
3/26/16,47
3/27/16,60
3/28/16,72
3/29/16,65
3/30/16,89
3/31/16,81
4/1/16,80
4/2/16,49
4/3/16,68
4/4/16,82
4/5/16,84
4/6/16,62
4/7/16,63
4/8/16,59
4/9/16,42
4/10/16,92
4/11/16,97
4/12/16,82
4/13/16,92
4/14/16,76
4/15/16,71
4/16/16,74
4/17/16,97
4/18/16,102
4/19/16,75
4/20/16,86
4/21/16,71
4/22/16,61
4/23/16,73
4/24/16,66
4/25/16,87
4/26/16,96
4/27/16,83
4/28/16,96
4/29/16,71
4/30/16,59
5/1/16,68
5/2/16,99
5/3/16,73
5/4/16,59
5/5/16,72
5/6/16,59
5/7/16,67
5/8/16,57
5/9/16,82
5/10/16,67
5/11/16,67
5/12/16,63
5/13/16,63
5/14/16,55
5/15/16,53
5/16/16,60
5/17/16,72
5/18/16,39
5/19/16,51
5/20/16,51
5/21/16,44
5/22/16,48
5/23/16,61
5/24/16,58
5/25/16,65
5/26/16,45
5/27/16,50
5/28/16,42
5/29/16,50
5/30/16,65
5/31/16,77
6/1/16,55
6/2/16,46
6/3/16,41
6/4/16,40
6/5/16,50
6/6/16,50
6/7/16,48
6/8/16,41
6/9/16,43
6/10/16,31
6/11/16,27
6/12/16,37
6/13/16,49
6/14/16,62
6/15/16,53
6/16/16,41
6/17/16,41
6/18/16,29
6/19/16,37
6/20/16,47
6/21/16,52
6/22/16,42
6/23/16,41
6/24/16,27
6/25/16,20
6/26/16,36
6/27/16,41
6/28/16,37
6/29/16,49
6/30/16,38
7/1/16,32
7/2/16,49
7/3/16,46
7/4/16,36
7/5/16,60
7/6/16,23
7/7/16,36
7/8/16,33
7/9/16,12
7/10/16,24
7/11/16,46
7/12/16,34
7/13/16,63
7/14/16,32
7/15/16,29
7/16/16,13
7/17/16,30
7/18/16,51
7/19/16,41
7/20/16,36
7/21/16,47
7/22/16,30
7/23/16,13
7/24/16,28
7/25/16,33
7/26/16,37
7/27/16,46
7/28/16,34
7/29/16,16
7/30/16,13
7/31/16,29
8/1/16,42
8/2/16,30
8/3/16,44
8/4/16,30
8/5/16,27
8/6/16,25
8/7/16,28
8/8/16,52
8/9/16,37
8/10/16,29
8/11/16,44
8/12/16,25
8/13/16,20
8/14/16,12
8/15/16,30
8/16/16,28
8/17/16,27
8/18/16,28
8/19/16,28
8/20/16,12
8/21/16,18
8/22/16,37
8/23/16,32
8/24/16,22
8/25/16,28
8/26/16,45
8/27/16,25
8/28/16,25
8/29/16,46
8/30/16,45
8/31/16,45
9/1/16,53
9/2/16,40
9/3/16,21
9/4/16,33
9/5/16,40
9/6/16,50
9/7/16,45
9/8/16,53
9/9/16,49
9/10/16,33
9/11/16,42
9/12/16,51
9/13/16,54
9/14/16,42
9/15/16,49
9/16/16,45
9/17/16,34
9/18/16,47
9/19/16,72
9/20/16,46
9/21/16,71
9/22/16,56
9/23/16,51
9/24/16,36
9/25/16,51
9/26/16,67
9/27/16,56
9/28/16,73
9/29/16,71
9/30/16,31
10/1/16,39
10/2/16,56
10/3/16,65
10/4/16,82
10/5/16,43
10/6/16,76
10/7/16,52
10/8/16,53
10/9/16,72
10/10/16,63
10/11/16,80
10/12/16,74
10/13/16,71
10/14/16,57
10/15/16,66
10/16/16,74
10/17/16,85
10/18/16,59
10/19/16,71
10/20/16,58
10/21/16,56
10/22/16,49
10/23/16,44
10/24/16,57
10/25/16,56
10/26/16,67
10/27/16,64
10/28/16,37
10/29/16,30
10/30/16,46
10/31/16,61
11/1/16,64
11/2/16,58
11/3/16,54
11/4/16,50
11/5/16,40
11/6/16,69
11/7/16,61
11/8/16,65
11/9/16,75
11/10/16,65
11/11/16,48
11/12/16,43
11/13/16,50
11/14/16,67
11/15/16,73
11/16/16,58
11/17/16,66
11/18/16,48
11/19/16,43
11/20/16,65
11/21/16,74
11/22/16,58
11/23/16,62
11/24/16,44
11/25/16,33
11/26/16,36
11/27/16,49
11/28/16,56
11/29/16,80
11/30/16,74
12/1/16,66
12/2/16,59
12/3/16,59
12/4/16,79
12/5/16,79
12/6/16,71
12/7/16,61
12/8/16,76
12/9/16,65
12/10/16,54
12/11/16,64
12/12/16,104
12/13/16,70
12/14/16,92
12/15/16,91
12/16/16,68
12/17/16,34
12/18/16,34
12/19/16,43
12/20/16,40
12/21/16,45
12/22/16,28
12/23/16,28
12/24/16,19
12/25/16,20
12/26/16,33
12/27/16,33
12/28/16,35
12/29/16,20
12/30/16,21
12/31/16,13
1/1/17,28
1/2/17,28
1/3/17,34
1/4/17,29
1/5/17,31
1/6/17,30
1/7/17,13
1/8/17,30
1/9/17,44
1/10/17,35
1/11/17,35
1/12/17,32
1/13/17,46
1/14/17,25
1/15/17,37
1/16/17,44
1/17/17,43
1/18/17,51
1/19/17,32
1/20/17,38
1/21/17,43
1/22/17,34
1/23/17,56
1/24/17,57
1/25/17,54
1/26/17,45
1/27/17,30
1/28/17,31
1/29/17,40
1/30/17,39
1/31/17,50
2/1/17,34
2/2/17,47
2/3/17,38
2/4/17,37
2/5/17,42
2/6/17,42
2/7/17,74
2/8/17,50
2/9/17,39
2/10/17,55
2/11/17,32
2/12/17,45
2/13/17,55
2/14/17,56
2/15/17,65
2/16/17,54
2/17/17,32
2/18/17,31
2/19/17,42
2/20/17,82
2/21/17,64
2/22/17,38
2/23/17,61
2/24/17,30
2/25/17,33
2/26/17,42
2/27/17,49
2/28/17,47
3/1/17,47
3/2/17,47
3/3/17,44
3/4/17,36
3/5/17,74
3/6/17,62
3/7/17,63
3/8/17,54
3/9/17,60
3/10/17,49
3/11/17,35
3/12/17,39
3/13/17,39
3/14/17,54
3/15/17,41
3/16/17,63
3/17/17,52
3/18/17,38
3/19/17,44
3/20/17,74
3/21/17,77
3/22/17,68
3/23/17,60
3/24/17,48
3/25/17,43
3/26/17,49
3/27/17,58
3/28/17,78
3/29/17,85
3/30/17,71
3/31/17,41
4/1/17,46
4/2/17,55
4/3/17,68
4/4/17,92
4/5/17,78
4/6/17,77
4/7/17,66
4/8/17,43
4/9/17,65
4/10/17,72
4/11/17,78
4/12/17,76
4/13/17,69
4/14/17,62
4/15/17,40
4/16/17,63
4/17/17,82
4/18/17,60
4/19/17,71
4/20/17,76
4/21/17,73
4/22/17,36
4/23/17,52
4/24/17,69
4/25/17,94
4/26/17,101
4/27/17,70
4/28/17,53
4/29/17,40
4/30/17,62
5/1/17,68
5/2/17,73
5/3/17,66
5/4/17,80
5/5/17,46
5/6/17,45
5/7/17,55
5/8/17,78
5/9/17,71
5/10/17,69
5/11/17,66
5/12/17,52
5/13/17,52
5/14/17,57
5/15/17,60
5/16/17,43
5/17/17,66
5/18/17,45
5/19/17,47
5/20/17,34
5/21/17,49
5/22/17,52
5/23/17,51
5/24/17,62
5/25/17,46
5/26/17,36
5/27/17,28
5/28/17,38
5/29/17,51
5/30/17,43
5/31/17,46
6/1/17,31
6/2/17,31
6/3/17,34
6/4/17,29
6/5/17,37
6/6/17,38
6/7/17,29
6/8/17,42
6/9/17,23
6/10/17,37
6/11/17,36
6/12/17,41
6/13/17,36
6/14/17,23
6/15/17,32
6/16/17,27
6/17/17,23
6/18/17,25
6/19/17,44
6/20/17,41
6/21/17,36
6/22/17,27
6/23/17,24
6/24/17,23
6/25/17,23
6/26/17,38
6/27/17,34
6/28/17,35
6/29/17,44
6/30/17,32
7/1/17,9
7/2/17,28
7/3/17,48
7/4/17,43
7/5/17,42
7/6/17,40
7/7/17,26
7/8/17,14
7/9/17,21
7/10/17,51
7/11/17,37
7/12/17,31
7/13/17,31
7/14/17,22
7/15/17,21
7/16/17,26
7/17/17,34
7/18/17,30
7/19/17,38
7/20/17,42
7/21/17,30
7/22/17,21
7/23/17,29
7/24/17,43
7/25/17,45
7/26/17,35
7/27/17,36
7/28/17,28
7/29/17,23
7/30/17,28
7/31/17,45
8/1/17,59
8/2/17,38
8/3/17,54
8/4/17,28
8/5/17,32
8/6/17,27
8/7/17,34
8/8/17,40
8/9/17,24
8/10/17,37
8/11/17,41
8/12/17,12
8/13/17,20
8/14/17,19
8/15/17,34
8/16/17,29
8/17/17,30
8/18/17,29
8/19/17,18
8/20/17,19
8/21/17,23
8/22/17,41
8/23/17,40
8/24/17,39
8/25/17,28
8/26/17,35
8/27/17,25
8/28/17,50
8/29/17,40
8/30/17,24
8/31/17,32
9/1/17,35
9/2/17,27
9/3/17,35
9/4/17,54
9/5/17,68
9/6/17,46
9/7/17,52
9/8/17,39
9/9/17,40
9/10/17,41
9/11/17,63
9/12/17,67
9/13/17,83
9/14/17,54
9/15/17,66
9/16/17,32
9/17/17,50
9/18/17,38
9/19/17,43
9/20/17,50
9/21/17,65
9/22/17,38
9/23/17,40
9/24/17,58
9/25/17,49
9/26/17,76
9/27/17,92
9/28/17,65
9/29/17,54
9/30/17,42
10/1/17,68
10/2/17,72
10/3/17,90
10/4/17,101
10/5/17,107
10/6/17,56
10/7/17,64
10/8/17,88
10/9/17,117
10/10/17,83
10/11/17,88
10/12/17,101
10/13/17,52
10/14/17,79
10/15/17,80
10/16/17,96
10/17/17,85
10/18/17,56
10/19/17,59
10/20/17,49
10/21/17,44
10/22/17,65
10/23/17,77
10/24/17,71
10/25/17,74
10/26/17,69
10/27/17,107
10/28/17,61
10/29/17,59
10/30/17,83
10/31/17,75
11/1/17,75
11/2/17,58
11/3/17,55
11/4/17,47
11/5/17,76
11/6/17,78
11/7/17,66
11/8/17,62
11/9/17,70
11/10/17,52
11/11/17,42
11/12/17,66
11/13/17,85
11/14/17,74
11/15/17,81
11/16/17,85
11/17/17,50
11/18/17,29
11/19/17,42
11/20/17,71
11/21/17,68
11/22/17,56
11/23/17,46
11/24/17,53
11/25/17,37
11/26/17,57
11/27/17,69
11/28/17,88
11/29/17,83
11/30/17,96
12/1/17,56
12/2/17,57
12/3/17,73
12/4/17,65
12/5/17,70
12/6/17,54
12/7/17,74
12/8/17,59
12/9/17,34
12/10/17,50
12/11/17,51
12/12/17,51
12/13/17,54
12/14/17,43
12/15/17,34
12/16/17,19
12/17/17,42
12/18/17,39
12/19/17,33
12/20/17,22
12/21/17,26
12/22/17,28
12/23/17,21
12/24/17,23
12/25/17,32
12/26/17,30
12/27/17,26
12/28/17,31
12/29/17,18
12/30/17,15
12/31/17,17
1/1/18,23
1/2/18,18
1/3/18,34
1/4/18,40
1/5/18,36
1/6/18,20
1/7/18,16
1/8/18,36
1/9/18,44
1/10/18,40
1/11/18,27
1/12/18,44
1/13/18,28
1/14/18,28
1/15/18,33
1/16/18,32
1/17/18,51
1/18/18,63
1/19/18,41
1/20/18,40
1/21/18,34
1/22/18,43
1/23/18,50
1/24/18,59
1/25/18,54
1/26/18,43
1/27/18,39
1/28/18,43
1/29/18,46
1/30/18,55
1/31/18,41
2/1/18,48
2/2/18,31
2/3/18,23
2/4/18,39
2/5/18,51
2/6/18,42
2/7/18,46
2/8/18,51
2/9/18,46
2/10/18,41
2/11/18,54
2/12/18,45
2/13/18,32
2/14/18,36
2/15/18,33
2/16/18,44
2/17/18,31
2/18/18,47
2/19/18,56
2/20/18,58
2/21/18,60
2/22/18,60
2/23/18,52
2/24/18,36
2/25/18,30
2/26/18,45
2/27/18,46
2/28/18,36
3/1/18,26
3/2/18,24
3/3/18,27
3/4/18,25
3/5/18,40
3/6/18,41
3/7/18,43
3/8/18,50
3/9/18,33
3/10/18,19
3/11/18,35
3/12/18,54
3/13/18,41
3/14/18,41
3/15/18,53
3/16/18,40
3/17/18,25
3/18/18,49
3/19/18,46
3/20/18,80
3/21/18,75
3/22/18,64
3/23/18,42
3/24/18,39
3/25/18,34
3/26/18,60
3/27/18,67
3/28/18,58
3/29/18,56
3/30/18,40
3/31/18,41
4/1/18,56
4/2/18,74
4/3/18,57
4/4/18,56
4/5/18,46
4/6/18,38
4/7/18,32
4/8/18,44
4/9/18,87
4/10/18,67
4/11/18,70
4/12/18,70
4/13/18,46
4/14/18,46
4/15/18,44
4/16/18,81
4/17/18,84
4/18/18,57
4/19/18,47
4/20/18,55
4/21/18,47
4/22/18,75
4/23/18,54
4/24/18,61
4/25/18,66
4/26/18,52
4/27/18,32
4/28/18,26
4/29/18,41
4/30/18,27
5/1/18,40
5/2/18,41
5/3/18,56
5/4/18,24
5/5/18,28
5/6/18,64
5/7/18,41
5/8/18,54
5/9/18,51
5/10/18,39
5/11/18,38
5/12/18,33
5/13/18,40
5/14/18,54
5/15/18,54
5/16/18,40
5/17/18,35
5/18/18,29
5/19/18,16
5/20/18,24
5/21/18,35
5/22/18,38
5/23/18,39
5/24/18,33
5/25/18,39
5/26/18,21
5/27/18,25
5/28/18,35
5/29/18,37
5/30/18,35
5/31/18,34
6/1/18,44
6/2/18,16
6/3/18,25
6/4/18,40
6/5/18,38
6/6/18,35
6/7/18,43
6/8/18,22
6/9/18,39
6/10/18,36
6/11/18,51
6/12/18,50
6/13/18,47
6/14/18,26
6/15/18,26
6/16/18,26
6/17/18,30
